district,year,NDBI,NDVI,NDWI
DEHRADUN,2016,-0.1675431107968907,0.5195881558611557,-0.3924590750282029
DEHRADUN,2022,-0.249470315794004,0.5562338094075551,-0.4230611545251291
DEHRADUN,2025,-0.1716569463825442,0.4274291032690059,-0.303356994949954
HARIDWAR,2016,-0.1439459637221522,0.4488352236850513,-0.337197850216523
HARIDWAR,2022,-0.181892263125919,0.4809706092116964,-0.3677863262269327
HARIDWAR,2025,-0.1142002810541997,0.3685530425651705,-0.2545816589241752
PAURI GARHWAL,2016,-0.1948685598192841,0.5391458015494386,-0.4047721988096991
PAURI GARHWAL,2022,-0.2434550484284059,0.5338212752670003,-0.3996317921306743
PAURI GARHWAL,2025,-0.2149626700665809,0.45990441993215,-0.3229741105425689
