district,NDVI_2016,NDVI_2022,NDVI_2025,NDVI_change_16_22,NDVI_change_22_25,NDVI_change_16_25,NDWI_2016,NDWI_2022,NDWI_2025,NDWI_change_16_22,NDWI_change_22_25,NDWI_change_16_25,NDBI_2016,NDBI_2022,NDBI_2025,NDBI_change_16_22,NDBI_change_22_25,NDBI_change_16_25,NDVI_pct_change
DEHRADUN,0.5195881558611557,0.5562338094075551,0.4274291032690059,0.03664565354639937,-0.12880470613854916,-0.09215905259214979,-0.3924590750282029,-0.4230611545251291,-0.303356994949954,-0.030602079496926227,0.1197041595751751,0.08910208007824888,-0.1675431107968907,-0.249470315794004,-0.1716569463825442,-0.08192720499711331,0.0778133694114598,-0.004113835585653508,-17.73694252891641
HARIDWAR,0.4488352236850513,0.4809706092116964,0.3685530425651705,0.03213538552664508,-0.11241756664652586,-0.08028218111988078,-0.337197850216523,-0.3677863262269327,-0.2545816589241752,-0.030588476010409704,0.11320466730275747,0.08261619129234776,-0.1439459637221522,-0.181892263125919,-0.1142002810541997,-0.03794629940376679,0.0676919820717193,0.029745682667952508,-17.88678269516008
PAURI GARHWAL,0.5391458015494386,0.5338212752670003,0.45990441993215,-0.005324526282438291,-0.07391685533485032,-0.07924138161728861,-0.4047721988096991,-0.3996317921306743,-0.3229741105425689,0.005140406679024823,0.07665768158810538,0.0817980882671302,-0.1948685598192841,-0.2434550484284059,-0.2149626700665809,-0.04858648860912179,0.028492378361825,-0.020094110247296793,-14.697579279957043
